model,cluster,stage,n_model,c2st_model,c2st_human_ceiling,c2st_constant_floor,df_model,df_human_ceiling,df_constant_floor,vr_model,vr_human_ceiling,vr_constant_floor,s_answer_model,s_answer_human_ceiling,s_answer_constant_floor
gigchat3,0,before,40,0.9945000000000002,0.5775,0.9550000000000001,0.7361540570175438,0.940046875,0.79421875,0.6493762818224184,1.013552392608296,0.0,,0.7150520833333334,0.7936458333333334
gigchat3,0,after,40,0.9949999999999999,0.5775,0.9550000000000001,0.7606824252136752,0.940046875,0.79859375,0.49399206832962034,1.013552392608296,0.0,0.7114744653392331,0.7233854166666667,0.7936458333333334
gigchat3,1,before,40,0.9687499999999998,0.56525,0.99375,0.7046193910256411,0.9440833333333334,0.81015625,0.4311750130833063,1.01825641005606,0.0,,0.7597916666666666,0.8270312499999999
gigchat3,1,after,40,0.9600000000000002,0.56525,0.99375,0.7044212962962964,0.9440833333333334,0.80625,0.4775751838504109,1.01825641005606,0.0,,0.7488020833333333,0.8270312499999999
gigchat3,2,before,40,0.9841249999999999,0.54925,0.8875,0.8088541666666667,0.9379166666666666,0.8021875,0.4716579493338458,1.0161780748711988,0.0,0.7404166666666667,0.7052083333333334,0.7846875000000001
gigchat3,2,after,40,0.9914999999999999,0.54925,0.8875,0.78265625,0.9379166666666666,0.7953645833333334,0.407032887449212,1.0161780748711988,0.0,,0.70234375,0.7846875000000001
gigchat3,3,before,40,0.9887500000000001,0.5635,0.8675,0.7105729166666667,0.9336875000000001,0.7741666666666667,0.6375165476345399,1.0220926077402093,0.0,0.6371354166666666,0.7061979166666666,0.7790625
gigchat3,3,after,40,1.0,0.5635,0.8675,0.75953125,0.9336875000000001,0.7713541666666667,0.6392781305712864,1.0220926077402093,0.0,0.6721354166666667,0.6892708333333333,0.7790625
gpt4_mini,0,before,40,0.9862500000000001,0.5775,0.9550000000000001,0.6813020833333333,0.940046875,0.7928125,0.42595106455287474,1.013552392608296,0.0,0.6536979166666667,0.7172916666666667,0.7936458333333334
gpt4_mini,0,after,40,0.985,0.5775,0.9550000000000001,0.6927083333333333,0.940046875,0.8013541666666667,0.39100320772641967,1.013552392608296,0.0,0.6566666666666666,0.7324479166666666,0.7936458333333334
gpt4_mini,1,before,40,0.9962500000000001,0.56525,0.99375,0.6509895833333335,0.9440833333333334,0.8075520833333334,0.4004692487625689,1.01825641005606,0.0,0.6365104166666666,0.75828125,0.8270312499999999
gpt4_mini,1,after,40,0.9962500000000001,0.56525,0.99375,0.6629166666666667,0.9440833333333334,0.8104166666666667,0.4039570741374393,1.01825641005606,0.0,0.6381770833333332,0.75515625,0.8270312499999999
gpt4_mini,2,before,40,0.985,0.54925,0.8875,0.7557812500000001,0.9379166666666666,0.8068229166666666,0.5273927186759441,1.0161780748711988,0.0,0.6876041666666667,0.7121354166666667,0.7846875000000001
gpt4_mini,2,after,40,0.9862500000000001,0.54925,0.8875,0.7703125,0.9379166666666666,0.8047916666666667,0.45149474617119595,1.0161780748711988,0.0,0.7104166666666666,0.7125520833333333,0.7846875000000001
gpt4_mini,3,before,40,0.9875,0.5635,0.8675,0.6688541666666667,0.9336875000000001,0.7820833333333334,0.3480484001073458,1.0220926077402093,0.0,0.6476041666666668,0.7090624999999999,0.7790625
gpt4_mini,3,after,40,0.9875,0.5635,0.8675,0.6926041666666667,0.9336875000000001,0.790625,0.3320138025004458,1.0220926077402093,0.0,0.6522916666666666,0.6918749999999999,0.7790625
gpt4_nano,0,before,40,0.9912500000000002,0.5775,0.9550000000000001,0.7019270833333333,0.940046875,0.7973958333333333,0.34368365369438764,1.013552392608296,0.0,0.67265625,0.7242708333333333,0.7936458333333334
gpt4_nano,0,after,40,0.9712500000000001,0.5775,0.9550000000000001,0.7036979166666666,0.940046875,0.79390625,0.3342974534025951,1.013552392608296,0.0,0.6728125,0.71859375,0.7936458333333334
gpt4_nano,1,before,40,0.9862500000000001,0.56525,0.99375,0.6806770833333333,0.9440833333333334,0.80875,0.2701091853976179,1.01825641005606,0.0,0.6734375,0.7569791666666668,0.8270312499999999
gpt4_nano,1,after,40,0.9862500000000001,0.56525,0.99375,0.6785416666666666,0.9440833333333334,0.81,0.2638530863919048,1.01825641005606,0.0,0.67828125,0.75609375,0.8270312499999999
gpt4_nano,2,before,40,0.9799999999999999,0.54925,0.8875,0.7306770833333334,0.9379166666666666,0.79296875,0.262734877032522,1.0161780748711988,0.0,0.6960416666666667,0.7030729166666667,0.7846875000000001
gpt4_nano,2,after,40,0.9775,0.54925,0.8875,0.7223958333333333,0.9379166666666666,0.7913020833333333,0.26878907999454754,1.0161780748711988,0.0,0.69703125,0.6999479166666667,0.7846875000000001
gpt4_nano,3,before,40,0.9637500000000001,0.5635,0.8675,0.7297916666666666,0.9336875000000001,0.77859375,0.4292303687050469,1.0220926077402093,0.0,0.6684895833333333,0.7093229166666667,0.7790625
gpt4_nano,3,before,40,0.97,0.5635,0.8675,0.7344270833333333,0.9336875000000001,0.7861458333333333,0.46487725953434766,1.0220926077402093,0.0,0.66953125,0.7033854166666667,0.7790625
gpt4_nano,3,after,40,0.9674999999999999,0.5635,0.8675,0.7464583333333332,0.9336875000000001,0.7888020833333333,0.4430528817734469,1.0220926077402093,0.0,0.6696354166666667,0.6963541666666667,0.7790625
grok4.1_fast,0,before,40,0.9625,0.5775,0.9550000000000001,0.641875,0.940046875,0.7940625,0.5338836617571201,1.013552392608296,0.0,0.5972916666666667,0.7296875,0.7936458333333334
