model,cluster,variant,c2st_model,c2st_human_ceiling,c2st_constant_floor
gigchat3,0,A_full_items,0.9949999999999999,0.5775,0.9550000000000001
gigchat3,0,B_style_only,0.954125,0.557625,0.9974999999999999
gigchat3,0,C_ipsatised,0.9948749999999998,0.58525,0.9824999999999999
gigchat3,0,D_facets_only,0.9932500000000001,0.59025,0.9875
gigchat3,0,E_forward_only,0.9890000000000001,0.5766249999999999,0.845
gigchat3,0,E_reverse_only,0.9949999999999999,0.587,0.8462500000000001
gigchat3,1,A_full_items,0.9600000000000002,0.56525,0.99375
gigchat3,1,B_style_only,0.9556250000000001,0.5643749999999998,0.9875
gigchat3,1,C_ipsatised,0.9662499999999999,0.5549999999999999,0.99125
gigchat3,1,D_facets_only,0.9724999999999999,0.5662499999999999,0.99375
gigchat3,1,E_forward_only,0.982375,0.5743750000000001,0.915
gigchat3,1,E_reverse_only,0.9600000000000002,0.57175,0.9724999999999999
gigchat3,2,A_full_items,0.9914999999999999,0.54925,0.8875
gigchat3,2,B_style_only,0.95625,0.546125,0.9937500000000001
gigchat3,2,C_ipsatised,0.97575,0.55075,0.9925
gigchat3,2,D_facets_only,0.9785000000000001,0.56175,0.85625
gigchat3,2,E_forward_only,0.978875,0.5685,0.7700000000000001
gigchat3,2,E_reverse_only,0.9919999999999998,0.5904999999999999,0.77125
gigchat3,3,A_full_items,1.0,0.5635,0.8675
gigchat3,3,B_style_only,0.833,0.596125,0.9962500000000001
gigchat3,3,C_ipsatised,0.9894999999999999,0.5740000000000001,0.97875
gigchat3,3,D_facets_only,0.9862500000000001,0.6045,0.9400000000000001
gigchat3,3,E_forward_only,0.9955,0.55075,0.7100000000000001
gigchat3,3,E_reverse_only,1.0,0.58325,0.7837500000000001
gpt4_mini,0,A_full_items,0.985,0.5775,0.9550000000000001
gpt4_mini,0,B_style_only,0.9807500000000001,0.557625,0.9974999999999999
gpt4_mini,0,C_ipsatised,0.9787500000000001,0.58525,0.9824999999999999
gpt4_mini,0,D_facets_only,0.9925,0.59025,0.9875
gpt4_mini,0,E_forward_only,0.989875,0.5766249999999999,0.845
gpt4_mini,0,E_reverse_only,0.9862500000000001,0.587,0.8462500000000001
gpt4_mini,1,A_full_items,0.9962500000000001,0.56525,0.99375
gpt4_mini,1,B_style_only,0.99125,0.5643749999999998,0.9875
gpt4_mini,1,C_ipsatised,0.9775,0.5549999999999999,0.99125
gpt4_mini,1,D_facets_only,0.9962500000000001,0.5662499999999999,0.99375
gpt4_mini,1,E_forward_only,0.993,0.5743750000000001,0.915
gpt4_mini,1,E_reverse_only,0.9962500000000001,0.57175,0.9724999999999999
gpt4_mini,2,A_full_items,0.9862500000000001,0.54925,0.8875
gpt4_mini,2,B_style_only,0.9189999999999999,0.546125,0.9937500000000001
gpt4_mini,2,C_ipsatised,0.9850000000000001,0.55075,0.9925
gpt4_mini,2,D_facets_only,0.99125,0.56175,0.85625
gpt4_mini,2,E_forward_only,0.95075,0.5685,0.7700000000000001
gpt4_mini,2,E_reverse_only,0.9862500000000001,0.5904999999999999,0.77125
gpt4_mini,3,A_full_items,0.9875,0.5635,0.8675
gpt4_mini,3,B_style_only,0.9866250000000001,0.596125,0.9962500000000001
