model,cluster,S_model_asis,S_model_reoriented,S_constant,VR_asis,VR_reoriented,corr_itemmeans_asis,corr_itemmeans_reoriented
gigchat3,0,0.7114020446484457,0.7275714583767995,0.7936458333333334,0.4796354447658494,0.4796354447658494,0.0347516797108548,0.48922447931034413
gigchat3,1,0.6905092592592592,0.7563657407407407,0.82703125,0.5250376985120067,0.5250376985120065,0.22560726579030033,0.6690854295247619
gigchat3,2,0.7373397435897436,0.7513354700854701,0.7846875,0.3744882751453204,0.37448827514532046,0.3346750193310687,0.5830130249998466
gigchat3,3,0.6721354166666667,0.6949479166666667,0.7790625,0.6699339298696337,0.6699339298696337,0.12016888510959542,0.5667975511621366
gpt4_mini,0,0.6566666666666666,0.7611458333333333,0.7936458333333334,0.3654968448424786,0.3654968448424786,-0.04580726841354103,0.7257547899865848
gpt4_mini,1,0.6381770833333333,0.7888020833333333,0.82703125,0.45143401029664165,0.45143401029664165,0.19142996951153274,0.8191123328578115
gpt4_mini,2,0.7104166666666667,0.768125,0.7846875,0.41047645998186627,0.41047645998186627,0.2653411571068028,0.6147787580870983
gpt4_mini,3,0.6522916666666667,0.7019791666666667,0.7790625,0.32488314332356816,0.32488314332356816,0.09502035391389746,0.42463589792282386
gpt4_nano,0,0.6728125,0.7728125,0.7936458333333334,0.3341605599424787,0.3341605599424787,-0.08010629100040452,0.7536756680361812
gpt4_nano,1,0.67828125,0.8066145833333334,0.82703125,0.29861649494585907,0.29861649494585907,0.06936270550226514,0.8109014322465115
gpt4_nano,2,0.69703125,0.76171875,0.7846875,0.25785744940408734,0.25785744940408734,0.10520374438956714,0.6193749604841334
gpt4_nano,3,0.6696354166666667,0.71765625,0.7790625,0.43404702672524326,0.43404702672524326,-0.02952646910748137,0.3021957871478478
grok4.1_fast,0,0.59828125,0.7130729166666666,0.7936458333333334,0.5476893023049617,0.5476893023049617,-0.0304211945679625,0.6711077222557497
grok4.1_fast,1,0.5829166666666666,0.7488541666666667,0.82703125,0.35343485599092117,0.35343485599092117,0.2101085850551824,0.7845826727420621
grok4.1_fast,2,0.6586458333333334,0.7141666666666666,0.7846875,0.5404843283810564,0.5404843283810565,0.05562416255579307,0.530862167565089
grok4.1_fast,3,0.61390625,0.65640625,0.7790625,0.38956793263845907,0.38956793263845907,0.01616534856555895,0.5649682385005589
qwen3,0,0.6343229166666666,0.7505729166666667,0.7936458333333334,0.5818098877488759,0.5818098877488761,-0.06661610107500782,0.6803298017219443
qwen3,1,0.6150520833333334,0.78234375,0.82703125,0.3531257693116578,0.3531257693116578,0.19844855594154814,0.8304905540141727
qwen3,2,0.6766145833333334,0.7328645833333334,0.7846875,0.46689516928752695,0.46689516928752695,0.12945032609104837,0.5948706851263359
qwen3,3,0.6420833333333333,0.665,0.7790625,0.491624254051364,0.49162425405136395,0.04739237210397231,0.6228299521261095
