run,status,K,alpha,corpus,decoder,gbm_gain,gbm_hi,gbm_lo,gbm_noLLM,gbm_sig,gbm_withLLM,lam,lin_gain,lin_hi,lin_lo,lin_noLLM,lin_sig,lin_withLLM,llm_cal,llm_logloss,llm_raw,mass,model,n_eval,n_items,n_train,panel,prior,stack,stack_gain,stack_hi,stack_lo,stack_sig,support_dropped,support_frac,w_star
h17_Qwen_Qwen3p6-35B-A3B_big5_test2,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,Qwen/Qwen3.6-35B-A3B,,,,,,,,,,,,,
h17_Qwen_Qwen3p6-35B-A3B_big5_val,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,Qwen/Qwen3.6-35B-A3B,,,,,,,,,,,,,
h17_Qwen_Qwen3p6-35B-A3B_hexaco_test2,ok,7,0.0,hexaco,0.11648985060032016,0.00015815505946976797,0.0005262901448891544,-0.00021566107954214356,0.11837702210708036,False,0.11821886704761059,100.0,-0.0001456672903694979,-2.279590934406682e-05,-0.00026319025898942984,0.11555350692330275,False,0.11569917421367226,0.1553781993706597,2.2251965586725317,0.2052014375775807,0.9961,Qwen/Qwen3.6-35B-A3B,64,120,8000,test2,0.15537819937065972,0.11648985060032016,1.951563910473908e-18,3.469446951953614e-18,8.673617379884035e-19,True,0,1.0,0.0
h17_Qwen_Qwen3p6-35B-A3B_hexaco_val,ok,7,0.0,hexaco,0.12199949802114077,0.0007618790284968226,0.0012631548020263855,0.0002834115157306155,0.12397916485083997,True,0.12321728582234315,100.0,-2.7341928297803814e-05,6.492118223956942e-05,-0.00011566553053616891,0.12066841582239507,False,0.12069575775069288,0.1602474810546875,2.188709263263845,0.20426922208015708,0.9962,Qwen/Qwen3.6-35B-A3B,64,120,8000,val,0.1602474810546875,0.12190472745413206,9.477056700872588e-05,0.00023481898981935796,-4.940327436543436e-05,False,0,1.0,0.05
h17_Qwen_Qwen3p6-35B-A3B_ipip_test2,ok,5,0.9,ipip,0.11166129401691156,0.0006733920636888713,0.0017734461608103326,-0.0003341286262889145,0.11784211140523544,False,0.11716871934154657,100.0,-8.79329650108182e-05,5.0325513649406e-05,-0.00021877144873496356,0.11154839106469605,False,0.11163632402970686,0.1496350695402461,1.5717427059852884,0.1727950421483871,0.9939,Qwen/Qwen3.6-35B-A3B,64,60,8000,test2,0.15854253632812498,0.11166129401691156,0.0,0.0,0.0,False,0,1.0,0.0
h17_Qwen_Qwen3p6-35B-A3B_ipip_val,ok,5,0.8,ipip,0.10858665177368507,-0.00025478900773660807,0.000688800633806813,-0.00115679346910335,0.1129697336170626,False,0.11322452262479922,100.0,-8.263456287908692e-05,2.9987579937001673e-05,-0.0001945361561182097,0.10840262258066569,False,0.10848525714354477,0.14291348796200842,1.584471882187172,0.17028257455993182,0.9939,Qwen/Qwen3.6-35B-A3B,64,60,8000,val,0.15243534231770833,0.10858665177368507,0.0,0.0,0.0,False,0,1.0,0.0
h17_Qwen_Qwen3p6-35B-A3B_sd3_test2,ok,5,1.6,sd3,0.1352443306092459,0.0005773895655619206,0.0034409703711328074,-0.002232253293774544,0.15103450153012285,False,0.15045711196456096,0.01,2.392652745445247e-05,0.0005703611566383949,-0.0005576902450249542,0.13545034754456609,False,0.13542642101711164,0.16225001535437245,1.7340062565213157,0.2027490429196958,0.9876,Qwen/Qwen3.6-35B-A3B,64,15,8000,test2,0.16329807630208334,0.1352443306092459,0.0,0.0,0.0,False,0,1.0,0.0
h17_Qwen_Qwen3p6-35B-A3B_sd3_val,ok,5,1.2,sd3,0.1284815821079508,-0.0010097915367583321,0.0021677253042046173,-0.004175214388125584,0.1398053851527759,False,0.14081517668953425,0.01,-0.0004044427404239758,-1.0353704493239575e-05,-0.0008077162599689201,0.12873815330562188,False,0.1291425960460459,0.1598790822108703,1.637927414442042,0.19564360304664796,0.9874,Qwen/Qwen3.6-35B-A3B,64,15,8000,val,0.16883570651041668,0.1284815821079508,0.0,0.0,0.0,False,0,1.0,0.0
h17_Qwen_Qwen3p8-27B_big5_test2,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,Qwen/Qwen3.8-27B,,,,,,,,,,,,,
h17_Qwen_Qwen3p8-27B_big5_val,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,Qwen/Qwen3.8-27B,,,,,,,,,,,,,
h17_Qwen_Qwen3p8-27B_hexaco_test2,ok,7,0.0,hexaco,0.11648985060032016,-0.0003418631111726882,0.00015972218143944713,-0.0008165699101494935,0.11837702210708036,False,0.11871888521825304,100.0,-5.286232021957035e-05,2.6145889200732243e-05,-0.00013135128588125097,0.11555350692330275,False,0.11560636924352233,0.1553781993706597,2.08288813295556,0.19265829248997224,0.9918,Qwen/Qwen3.8-27B,64,120,8000,test2,0.15537819937065972,0.11648985060032016,1.951563910473908e-18,3.469446951953614e-18,6.505213034913027e-19,True,0,1.0,0.0
h17_Qwen_Qwen3p8-27B_hexaco_val,ok,7,0.0,hexaco,0.12199949802114077,0.0009226462495256433,0.001401543035242588,0.0004594897324244102,0.12397916485083997,True,0.12305651860131432,100.0,0.00010450136372826052,0.00022906115825982454,-2.302137102956458e-05,0.12066841582239507,False,0.12056391445866681,0.1602474810546875,2.0183407347713334,0.19324269164023528,0.9917,Qwen/Qwen3.8-27B,64,120,8000,val,0.1602474810546875,0.12190472745413206,9.477056700872588e-05,0.00023871635038253802,-4.3444558452295135e-05,False,0,1.0,0.05
h17_Qwen_Qwen3p8-27B_ipip_test2,ok,5,1.2,ipip,0.11166129401691156,0.0012435748393141632,0.002329749348860324,0.00020475970061723564,0.11784211140523544,True,0.11659853656592128,100.0,-2.8738945491048893e-05,9.11335477639587e-05,-0.00014741320512703487,0.11154839106469605,False,0.1115771300101871,0.1522298643363545,1.6899067754279504,0.18429161776471925,0.9876,Qwen/Qwen3.8-27B,64,60,8000,test2,0.15854253632812498,0.11166129401691156,0.0,0.0,0.0,False,0,1.0,0.0
h17_Qwen_Qwen3p8-27B_ipip_val,ok,5,1.0,ipip,0.10858665177368507,0.0001566015704231019,0.0010348541960174924,-0.0006948084782525268,0.1129697336170626,False,0.11281313204663951,100.0,-0.0001328860073818764,7.992309682163442e-06,-0.0002745846853087801,0.10840262258066569,False,0.10853550858804757,0.14806579103267178,1.7276200139427296,0.18257574180864639,0.9878,Qwen/Qwen3.8-27B,64,60,8000,val,0.15243534231770833,0.10858665177368507,0.0,0.0,0.0,False,0,1.0,0.0
h17_Qwen_Qwen3p8-27B_sd3_test2,ok,5,1.9,sd3,0.1352443306092459,-0.00036499414579262406,0.0025429013882718367,-0.0034121585867750988,0.15103450153012285,False,0.15139949567591549,0.01,6.92740224967019e-05,0.000587500138013789,-0.0005334240627581412,0.13545034754456609,False,0.13538107352206938,0.16223530392578298,1.6460963191316171,0.19363048176766284,0.9752,Qwen/Qwen3.8-27B,64,15,8000,test2,0.16329807630208334,0.1352443306092459,0.0,0.0,0.0,False,0,1.0,0.0
h17_Qwen_Qwen3p8-27B_sd3_val,ok,5,1.6,sd3,0.1284815821079508,-8.392428448850749e-05,0.003330196433595749,-0.0034521005543047332,0.1398053851527759,False,0.1398893094372644,0.01,-0.0002149750198609041,0.00016047029223475027,-0.0006254579889083293,0.12873815330562188,False,0.1289531283254828,0.1535740818119387,1.617191365297849,0.18610847278861414,0.9748,Qwen/Qwen3.8-27B,64,15,8000,val,0.16883570651041668,0.1284815821079508,0.0,0.0,0.0,False,0,1.0,0.0
h17_google_gemma-4-12B-it_big5_test2,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,google/gemma-4-12B-it,,,,,,,,,,,,,
h17_google_gemma-4-12B-it_big5_val,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,google/gemma-4-12B-it,,,,,,,,,,,,,
h17_google_gemma-4-12B-it_hexaco_test2,ok,7,0.0,hexaco,0.11648985060032016,0.00015720599365908069,0.000603495525183558,-0.0002787978606441427,0.11837702210708036,False,0.11821981611342128,100.0,-3.22284316772491e-05,2.9449804732850814e-05,-9.307806753424189e-05,0.11555350692330275,False,0.11558573535498,0.1553781993706597,3.8774665813625306,0.28035429374815,0.9194,google/gemma-4-12B-it,64,120,8000,test2,0.15537819937065972,0.11648985060032016,1.951563910473908e-18,3.469446951953614e-18,6.505213034913027e-19,True,0,1.0,0.0
h17_google_gemma-4-12B-it_hexaco_val,ok,7,0.0,hexaco,0.12199949802114077,0.00034600937471179153,0.0008249641995470907,-0.00010863553920839449,0.12397916485083997,False,0.12363315547612819,100.0,-2.467531033093981e-05,3.6214630967594575e-05,-8.713854789817905e-05,0.12066841582239507,False,0.120693091132726,0.1602474810546875,3.7389064626948505,0.27831160627153934,0.9267,google/gemma-4-12B-it,64,120,8000,val,0.1602474810546875,0.12190472745413206,9.477056700872588e-05,0.00023460790017207565,-4.4581051865224564e-05,False,0,1.0,0.05
h17_google_gemma-4-12B-it_ipip_test2,ok,5,0.4,ipip,0.11166129401691156,0.0003601683813945978,0.0013831080876174516,-0.000645660594639839,0.11784211140523544,False,0.11748194302384085,100.0,-0.00014309492359670332,1.0620557225046687e-05,-0.00029417264057386916,0.11154839106469605,False,0.11169148598829276,0.1569017767284942,3.0706382801709724,0.2648290133384661,0.9985,google/gemma-4-12B-it,64,60,8000,test2,0.15854253632812498,0.11166129401691156,0.0,0.0,0.0,False,0,1.0,0.0
h17_google_gemma-4-12B-it_ipip_val,ok,5,0.3,ipip,0.10858665177368507,-8.028934944887011e-05,0.0007850441733549296,-0.0009337488338768377,0.1129697336170626,False,0.11305002296651148,100.0,-0.00022433681604497714,-5.751491730382889e-05,-0.0003938581654555481,0.10840262258066569,False,0.10862695939671066,0.15146711610799846,3.170057675055249,0.26930347283016254,0.9967,google/gemma-4-12B-it,64,60,8000,val,0.15243534231770833,0.10858665177368507,0.0,0.0,0.0,False,0,1.0,0.0
h17_google_gemma-4-12B-it_sd3_test2,ok,5,0.4,sd3,0.1352443306092459,0.0006780804586980097,0.004177207483568265,-0.0025084051817367463,0.15103450153012285,False,0.15035642107142483,0.01,-0.00020365824230698948,0.00021230941198368823,-0.0006466185932761273,0.13545034754456609,False,0.13565400578687306,0.16310856307169566,2.6110246182484085,0.24921336702281607,0.9604,google/gemma-4-12B-it,64,15,8000,test2,0.16329807630208334,0.1352443306092459,0.0,0.0,0.0,False,0,1.0,0.0
h17_google_gemma-4-12B-it_sd3_val,ok,5,0.4,sd3,0.1284815821079508,-0.0034211676419826777,3.391995422106822e-05,-0.007063717639271925,0.1398053851527759,False,0.14322655279475857,0.01,-0.0013148258094478958,-1.3332274640230923e-06,-0.00262137641889964,0.12873815330562188,False,0.1300529791150698,0.16918232675411995,2.6391959042328317,0.2526326493187746,0.9519,google/gemma-4-12B-it,64,15,8000,val,0.16883570651041668,0.1284815821079508,0.0,0.0,0.0,False,0,1.0,0.0
h17_ibm-granite_granite-4p2-30b_big5_test2,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,ibm-granite/granite-4.2-30b,,,,,,,,,,,,,
h17_ibm-granite_granite-4p2-30b_big5_val,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,ibm-granite/granite-4.2-30b,,,,,,,,,,,,,
h17_ibm-granite_granite-4p2-30b_hexaco_test2,ok,7,0.0,hexaco,0.11648985060032016,0.00031831815191146035,0.0006468796939730597,-1.366244175161461e-05,0.11837702210708036,False,0.1180587039551689,100.0,6.723252188831378e-06,6.580925353362853e-05,-5.009112071971379e-05,0.11555350692330275,False,0.11554678367111393,0.1553781993706597,2.6518200887881003,0.227255239627722,0.9971,ibm-granite/granite-4.2-30b,64,120,8000,test2,0.15537819937065972,0.11648985060032016,1.951563910473908e-18,3.469446951953614e-18,6.505213034913027e-19,True,0,1.0,0.0
h17_ibm-granite_granite-4p2-30b_hexaco_val,ok,7,0.0,hexaco,0.12199949802114077,0.0003567668068994931,0.0007993849457651582,-6.482080051878146e-05,0.12397916485083997,False,0.12362239804394047,100.0,-1.4633732212147475e-05,5.49202236136549e-05,-8.49574544746663e-05,0.12066841582239507,False,0.12068304955460722,0.1602474810546875,2.6308088885148395,0.2310948445891876,0.9971,ibm-granite/granite-4.2-30b,64,120,8000,val,0.1602474810546875,0.12190472745413206,9.477056700872588e-05,0.0002402639948539952,-4.3366853042978416e-05,False,0,1.0,0.05
h17_ibm-granite_granite-4p2-30b_ipip_test2,ok,5,0.5,ipip,0.11166129401691156,0.00013269549120531574,0.0012195007242658653,-0.0009011184788055312,0.11784211140523544,False,0.11770941591403014,100.0,-1.2512705655832166e-05,0.00010574490116669737,-0.00013031622774762846,0.11154839106469605,False,0.11156090377035188,0.15603300677009957,2.1717146574096526,0.24259036749062998,0.9988,ibm-granite/granite-4.2-30b,64,60,8000,test2,0.15854253632812498,0.11166129401691156,0.0,0.0,0.0,False,0,1.0,0.0
h17_ibm-granite_granite-4p2-30b_ipip_val,ok,5,0.4,ipip,0.10858665177368507,-1.982150810403015e-05,0.0009791974006072442,-0.0010284484446772542,0.1129697336170626,False,0.11298955512516662,100.0,-0.00021226133961226132,-2.805527946175616e-05,-0.0004005728624897021,0.10840262258066569,False,0.10861488392027795,0.15109927939678486,2.2526877170875528,0.24316653764170965,0.9989,ibm-granite/granite-4.2-30b,64,60,8000,val,0.15243534231770833,0.10858665177368507,0.0,0.0,0.0,False,0,1.0,0.0
h17_ibm-granite_granite-4p2-30b_sd3_test2,ok,5,1.0,sd3,0.1352443306092459,3.631045424806051e-05,0.0034199811179704592,-0.00325263967065349,0.15103450153012285,False,0.15099819107587478,0.01,-0.0003557157142463533,0.00044839727938358247,-0.0011844696878396896,0.13545034754456609,False,0.13580606325881245,0.16183217984500442,2.129096468743985,0.23520407020714396,0.998,ibm-granite/granite-4.2-30b,64,15,8000,test2,0.16329807630208334,0.1352443306092459,0.0,0.0,0.0,False,0,1.0,0.0
h17_ibm-granite_granite-4p2-30b_sd3_val,ok,5,0.8,sd3,0.1284815821079508,-0.0028896279271649313,-2.51061065050139e-06,-0.005711999307118053,0.1398053851527759,False,0.14269501307994084,0.01,-0.00010628227823056497,0.0002819597434120267,-0.00048085484584618385,0.12873815330562188,False,0.1288444355838525,0.16156627505738735,2.0643277533539823,0.2309120975769129,0.9978,ibm-granite/granite-4.2-30b,64,15,8000,val,0.16883570651041668,0.1284815821079508,0.0,0.0,0.0,False,0,1.0,0.0
h17_ibm-granite_granite-4p2-8b_big5_test2,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,ibm-granite/granite-4.2-8b,,,,,,,,,,,,,
h17_ibm-granite_granite-4p2-8b_big5_val,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,ibm-granite/granite-4.2-8b,,,,,,,,,,,,,
h17_ibm-granite_granite-4p2-8b_hexaco_test2,ok,7,0.0,hexaco,0.11648985060032016,7.386837153861578e-05,0.0005290817422689677,-0.00040118652863100154,0.11837702210708036,False,0.11830315373554173,100.0,-0.00011397912132590283,-3.493973618690481e-05,-0.00019513041313694928,0.11555350692330275,False,0.11566748604462866,0.1553781993706597,3.170666160893854,0.26657009385565755,0.9988,ibm-granite/granite-4.2-8b,64,120,8000,test2,0.15537819937065972,0.11648985060032016,1.951563910473908e-18,3.469446951953614e-18,8.673617379884035e-19,True,0,1.0,0.0
h17_ibm-granite_granite-4p2-8b_hexaco_val,ok,7,0.0,hexaco,0.12199949802114077,0.0004943514646472975,0.0009491174180276778,3.9211057575343975e-05,0.12397916485083997,True,0.12348481338619267,100.0,-0.00012481640660975805,-7.217145355462915e-06,-0.00023790063401371293,0.12066841582239507,False,0.12079323222900483,0.1602474810546875,3.131021929348483,0.27207346920018805,0.9989,ibm-granite/granite-4.2-8b,64,120,8000,val,0.1602474810546875,0.12190472745413206,9.477056700872588e-05,0.00024121538101707504,-4.4707038987138995e-05,False,0,1.0,0.05
h17_ibm-granite_granite-4p2-8b_ipip_test2,ok,5,0.5,ipip,0.11166129401691156,0.0007885047262024917,0.0016934923297980695,-8.681771656254753e-05,0.11784211140523544,False,0.11705360667903296,100.0,4.427959282456194e-06,0.0001669655839463787,-0.00015409139657130823,0.11154839106469605,False,0.11154396310541359,0.1574781271724569,3.2428944298440268,0.38232919086203676,0.9967,ibm-granite/granite-4.2-8b,64,60,8000,test2,0.15854253632812498,0.11166129401691156,0.0,0.0,0.0,False,0,1.0,0.0
h17_ibm-granite_granite-4p2-8b_ipip_val,ok,5,0.4,ipip,0.10858665177368507,0.000817594619497024,0.0017284720383723756,-8.31918757888312e-05,0.1129697336170626,False,0.11215213899756557,100.0,-3.112472108759913e-05,0.0001838914101494509,-0.00023593204952967073,0.10840262258066569,False,0.1084337473017533,0.1523932227011338,3.226323138095518,0.37011609099439796,0.9967,ibm-granite/granite-4.2-8b,64,60,8000,val,0.15243534231770833,0.10858665177368507,0.0,0.0,0.0,False,0,1.0,0.0
h17_ibm-granite_granite-4p2-8b_sd3_test2,ok,5,1.2,sd3,0.1352443306092459,-0.0031477823684111913,0.0005917532917320407,-0.006734285700448941,0.15103450153012285,False,0.15418228389853406,0.01,-4.496255152645543e-05,0.00028567486070414617,-0.0003871665079445044,0.13545034754456609,False,0.13549531009609253,0.16062395189233009,2.139419818610346,0.22883763864325962,0.9983,ibm-granite/granite-4.2-8b,64,15,8000,test2,0.16329807630208334,0.1352443306092459,0.0,0.0,0.0,False,0,1.0,0.0
h17_ibm-granite_granite-4p2-8b_sd3_val,ok,5,1.1,sd3,0.1284815821079508,-0.0020705223957026985,0.0005618875366061195,-0.004685503699959655,0.1398053851527759,False,0.1418759075484786,0.01,-1.658057568747998e-05,0.0003703309679965716,-0.00038357064465459806,0.12873815330562188,False,0.1287547338813094,0.15958502621638954,2.0216402157874,0.22201818535145118,0.9982,ibm-granite/granite-4.2-8b,64,15,8000,val,0.16883570651041668,0.1284815821079508,0.0,0.0,0.0,False,0,1.0,0.0
h17_openai_gpt-oss-20b_big5_test2,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,openai/gpt-oss-20b,,,,,,,,,,,,,
h17_openai_gpt-oss-20b_big5_val,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,openai/gpt-oss-20b,,,,,,,,,,,,,
h17_openai_gpt-oss-20b_hexaco_test2,ok,7,0.0,hexaco,0.11648985060032016,0.0001686637123155491,0.0005874107274974154,-0.00024413134232237438,0.11837702210708036,False,0.11820835839476482,100.0,-4.9632208965733364e-05,3.836179880830673e-06,-0.00010563527915522337,0.11555350692330275,False,0.1156031391322685,0.1553781993706597,2.1266285537839416,0.1894893715544772,0.9973,openai/gpt-oss-20b,64,120,8000,test2,0.15537819937065972,0.11648985060032016,1.951563910473908e-18,3.469446951953614e-18,6.505213034913027e-19,True,0,1.0,0.0
h17_openai_gpt-oss-20b_hexaco_val,ok,7,0.0,hexaco,0.12199949802114077,0.000632502466724719,0.0010745133454808512,0.00018937793434132747,0.12397916485083997,True,0.12334666238411525,100.0,-1.1956604861313412e-05,5.51261734253707e-05,-7.94627715888329e-05,0.12066841582239507,False,0.12068037242725638,0.1602474810546875,2.182052377273357,0.19867173178932673,0.9973,openai/gpt-oss-20b,64,120,8000,val,0.1602474810546875,0.12190472745413206,9.477056700872588e-05,0.00023095342923155088,-4.7071991508387584e-05,False,0,1.0,0.05
h17_openai_gpt-oss-20b_ipip_test2,ok,5,0.9,ipip,0.11166129401691156,0.0009303579632503248,0.0020697276847155928,-0.00019570344978473312,0.11784211140523544,False,0.11691175344198512,100.0,3.3364206057152055e-05,0.0001215636512097495,-5.448265157119288e-05,0.11154839106469605,False,0.1115150268586389,0.15765135498137273,1.6443555629266915,0.19353581418816823,0.9967,openai/gpt-oss-20b,64,60,8000,test2,0.15854253632812498,0.11166129401691156,0.0,0.0,0.0,False,0,1.0,0.0
h17_openai_gpt-oss-20b_ipip_val,ok,5,0.5,ipip,0.10858665177368507,0.0007129611371511039,0.0015700920533789926,-0.0001631307995490669,0.1129697336170626,False,0.11225677247991149,100.0,-7.052441546153733e-05,8.627884612936765e-05,-0.00023216892385848553,0.10840262258066569,False,0.10847314699612723,0.15182865151007108,1.6051705163510297,0.18328376738469923,0.9968,openai/gpt-oss-20b,64,60,8000,val,0.15243534231770833,0.10858665177368507,0.0,0.0,0.0,False,0,1.0,0.0
h17_openai_gpt-oss-20b_sd3_test2,ok,5,1.8,sd3,0.1352443306092459,0.0011804913580618448,0.004568960101598496,-0.0021626963435160892,0.15103450153012285,False,0.14985401017206101,0.01,9.242511702870198e-06,0.00036633553131218627,-0.0003608452937891026,0.13545034754456609,False,0.13544110503286322,0.16275117847675502,1.6299231105333658,0.18429597798842115,0.9979,openai/gpt-oss-20b,64,15,8000,test2,0.16329807630208334,0.1352443306092459,0.0,0.0,0.0,False,0,1.0,0.0
h17_openai_gpt-oss-20b_sd3_val,ok,5,1.6,sd3,0.1284815821079508,0.00074961049504999,0.0036208497591243725,-0.0020173651752943772,0.1398053851527759,False,0.13905577465772592,0.01,-0.00018488088140309158,0.00020215616797735947,-0.0005551018051407868,0.12873815330562188,False,0.128923034187025,0.16385738499343258,1.6186755368929158,0.1852554555385808,0.9979,openai/gpt-oss-20b,64,15,8000,val,0.16883570651041668,0.1284815821079508,0.0,0.0,0.0,False,0,1.0,0.0
h17_swiss-ai_Apertus-8B-Instruct-2509_big5_test2,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,swiss-ai/Apertus-8B-Instruct-2509,,,,,,,,,,,,,
h17_swiss-ai_Apertus-8B-Instruct-2509_big5_val,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,swiss-ai/Apertus-8B-Instruct-2509,,,,,,,,,,,,,
h17_swiss-ai_Apertus-8B-Instruct-2509_hexaco_test2,ok,7,0.2,hexaco,0.11648985060032016,-5.57062883436378e-05,0.00034448331794126926,-0.0004567410537069703,0.11837702210708036,False,0.11843272839542399,100.0,-1.6503122155135793e-05,2.9426356197369213e-05,-6.0376871766531724e-05,0.11555350692330275,False,0.11557001004545789,0.15531948437291754,2.2404148876314958,0.20921433146000765,0.9962,swiss-ai/Apertus-8B-Instruct-2509,64,120,8000,test2,0.15537819937065972,0.11648985060032016,1.951563910473908e-18,3.2526065174565133e-18,6.505213034913027e-19,True,0,1.0,0.0
