run,status,K,alpha,corpus,decoder,gbm_gain,gbm_hi,gbm_lo,gbm_noLLM,gbm_sig,gbm_withLLM,lam,lin_gain,lin_hi,lin_lo,lin_noLLM,lin_sig,lin_withLLM,llm_cal,llm_logloss,llm_raw,mass,model,n_eval,n_items,n_train,panel,prior,stack,stack_gain,stack_hi,stack_lo,stack_sig,support_dropped,support_frac,w_star
h17n512_Qwen_Qwen3_6-35B-A3B_big5_test2,ok,5,0.6,big5,0.12005699328891752,-0.00031881334406289063,0.00037067095970950227,-0.0010115493971934422,0.12298179249446012,False,0.12330060583852301,10.0,-6.782919134693064e-05,7.93679031606818e-05,-0.00021553128070725766,0.12001478569328208,False,0.12008261488462903,0.15795761268527686,1.6100908268353695,0.1731121568440715,0.9941,Qwen/Qwen3.6-35B-A3B,256,25,8000,test2,0.16492094007812502,0.12005699328891752,2.710505431213761e-19,5.963111948670274e-19,5.421010862427522e-20,True,0,1.0,0.0
h17n512_Qwen_Qwen3_6-35B-A3B_big5_val,ok,5,0.5,big5,0.12177626991071844,-0.0011533803094855115,-0.0004885499751609537,-0.0018693651567697755,0.12490030213393785,False,0.12605368244342335,10.0,1.2000501523198425e-05,7.461781201700371e-05,-4.9423742606859514e-05,0.12204591513979839,False,0.12203391463827518,0.15844400125132063,1.6070669288951458,0.1734688257812403,0.9942,Qwen/Qwen3.6-35B-A3B,256,25,8000,val,0.166819983046875,0.12177626991071844,1.0842021724855044e-19,3.7947076036992655e-19,-1.0842021724855044e-19,False,0,1.0,0.0
h17n512_Qwen_Qwen3_8-27B_big5_test2,ok,5,0.8,big5,0.12005699328891752,-0.0007954747956386681,-1.459385546363523e-05,-0.001586857115201806,0.12298179249446012,False,0.12377726729009879,10.0,-5.1018804454230665e-05,6.80782580627766e-05,-0.00017008621007106396,0.12001478569328208,False,0.12006580449773632,0.16426890074307665,1.7394825353970167,0.19770148472440988,0.9805,Qwen/Qwen3.8-27B,256,25,8000,test2,0.16492094007812502,0.12005699328891752,2.710505431213761e-19,5.963111948670274e-19,5.421010862427522e-20,True,0,1.0,0.0
h17n512_Qwen_Qwen3_8-27B_big5_val,ok,5,0.7,big5,0.12177626991071844,-0.0007636506293971365,-6.322168722840068e-05,-0.0014355172556321423,0.12490030213393785,False,0.125663952763335,10.0,-4.7661256280028344e-05,3.3024225107909975e-05,-0.00013000608525137776,0.12204591513979839,False,0.1220935763960784,0.1653792843046163,1.7355915363607894,0.19873606764770607,0.9803,Qwen/Qwen3.8-27B,256,25,8000,val,0.166819983046875,0.12177626991071844,1.0842021724855044e-19,4.336808689942018e-19,-1.0842021724855044e-19,False,0,1.0,0.0
h17n512_Qwen_Qwen3p6-35B-A3B_big5_test2,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,Qwen/Qwen3.6-35B-A3B,,,,,,,,,,,,,
h17n512_Qwen_Qwen3p6-35B-A3B_big5_val,"stale-key(rev=9,expected=7)",,,big5,,,,,,,,,,,,,,,,,,,Qwen/Qwen3.6-35B-A3B,,,,,,,,,,,,,
h17n512_Qwen_Qwen3p6-35B-A3B_hexaco_test2,ok,7,0.0,hexaco,0.11815881234719214,-9.185861011251926e-05,-2.495039564194101e-05,-0.00015674400428899947,0.1165502419789948,False,0.11664210058910734,100.0,-1.8885004098324984e-05,1.739126551046646e-05,-5.479787406010025e-05,0.11700648269097205,False,0.11702536769507037,0.16007754561631943,2.2227112825098665,0.20781088625639707,0.9962,Qwen/Qwen3.6-35B-A3B,256,120,8000,test2,0.16007754561631943,0.11811475090326994,4.4061443922218345e-05,0.00012505864103911043,-3.696117844624426e-05,False,2,0.9999674479166667,0.05
h17n512_Qwen_Qwen3p6-35B-A3B_hexaco_val,ok,7,0.0,hexaco,0.11865519939495958,6.526153974757123e-05,0.00013835790683457795,-9.116799230661921e-06,0.11726990799054532,False,0.11720464645079776,100.0,-1.5104874664064209e-05,3.2719227156779324e-05,-6.340978315008631e-05,0.11739969757036402,False,0.1174148024450281,0.15904011614583335,2.2214501097345067,0.20819102574911255,0.9962,Qwen/Qwen3.6-35B-A3B,256,120,8000,val,0.15904011614583335,0.11861309095045883,4.210844450075311e-05,0.00012451031454102825,-3.688579494341239e-05,False,2,0.9999674479166667,0.05
h17n512_Qwen_Qwen3p6-35B-A3B_ipip_test2,ok,5,0.8,ipip,0.11065117544170214,-8.46034565637411e-05,7.461307517257998e-05,-0.00024422969695938376,0.1107535758517586,False,0.11083817930832235,100.0,-8.937861596344983e-06,3.95460387556283e-05,-5.8798265098741104e-05,0.1103764899813766,False,0.11038542784297295,0.1446679219599834,1.5562628254433637,0.16921351637819987,0.994,Qwen/Qwen3.6-35B-A3B,256,60,8000,test2,0.15553935029296875,0.11065117544170214,1.6263032587282567e-19,4.336808689942018e-19,0.0,False,0,1.0,0.0
h17n512_Qwen_Qwen3p6-35B-A3B_ipip_val,ok,5,0.8,ipip,0.11005563461363177,-3.81978080804998e-05,0.00011907572653275744,-0.0001942759494635824,0.11013308102571354,False,0.11017127883379405,100.0,3.412527313516908e-07,3.999432909997794e-05,-3.893603610348292e-05,0.10979204822869643,False,0.10979170697596508,0.14666018265278358,1.5640880805473012,0.17011697069393278,0.9939,Qwen/Qwen3.6-35B-A3B,256,60,8000,val,0.15577885631510419,0.11005563461363177,-1.0842021724855044e-19,1.6263032587282567e-19,-4.336808689942018e-19,False,0,1.0,0.0
