model,cluster,variant,c2st_model,c2st_human_ceiling,c2st_constant_floor
gigchat3,0,A_full_items,0.992625,0.5775,0.9550000000000001
gigchat3,0,B_style_only,0.9737500000000001,0.5576249999999999,0.9962500000000001
gigchat3,0,C_ipsatised,0.98375,0.58525,0.9824999999999999
gigchat3,0,D_facets_only,0.98225,0.5575000000000001,0.92125
gigchat3,0,E_forward_only,0.9890000000000001,0.5766249999999999,0.845
gigchat3,0,E_reverse_only,0.9886250000000001,0.587,0.8462500000000001
gigchat3,1,A_full_items,0.99325,0.56525,0.99375
gigchat3,1,B_style_only,0.98125,0.5730000000000001,0.9800000000000001
gigchat3,1,C_ipsatised,0.976,0.5549999999999999,0.99125
gigchat3,1,D_facets_only,0.9909999999999999,0.5645,0.9962500000000001
gigchat3,1,E_forward_only,0.982375,0.5743750000000001,0.915
gigchat3,1,E_reverse_only,0.9953750000000001,0.57175,0.9724999999999999
gigchat3,2,A_full_items,0.99875,0.54925,0.8875
gigchat3,2,B_style_only,0.9789999999999999,0.58375,0.98125
gigchat3,2,C_ipsatised,0.9962500000000001,0.55075,0.9925
gigchat3,2,D_facets_only,0.991,0.562875,0.90625
gigchat3,2,E_forward_only,0.978875,0.5685,0.7700000000000001
gigchat3,2,E_reverse_only,1.0,0.5904999999999999,0.77125
gigchat3,3,A_full_items,0.9960000000000001,0.5635,0.8675
gigchat3,3,B_style_only,0.8957499999999999,0.6215,0.9962500000000001
gigchat3,3,C_ipsatised,0.99375,0.5740000000000001,0.97875
gigchat3,3,D_facets_only,0.99,0.5752499999999999,0.8099999999999999
gigchat3,3,E_forward_only,0.9955,0.55075,0.7100000000000001
gigchat3,3,E_reverse_only,0.9754999999999999,0.58325,0.7837500000000001
gpt4_mini,0,A_full_items,0.9925,0.5775,0.9550000000000001
gpt4_mini,0,B_style_only,0.866,0.5576249999999999,0.9962500000000001
gpt4_mini,0,C_ipsatised,0.9932500000000001,0.58525,0.9824999999999999
gpt4_mini,0,D_facets_only,0.999,0.5575000000000001,0.92125
gpt4_mini,0,E_forward_only,0.989875,0.5766249999999999,0.845
gpt4_mini,0,E_reverse_only,0.9944999999999998,0.587,0.8462500000000001
gpt4_mini,1,A_full_items,0.9992500000000002,0.56525,0.99375
gpt4_mini,1,B_style_only,0.9005000000000001,0.5730000000000001,0.9800000000000001
gpt4_mini,1,C_ipsatised,1.0,0.5549999999999999,0.99125
gpt4_mini,1,D_facets_only,0.997625,0.5645,0.9962500000000001
gpt4_mini,1,E_forward_only,0.993,0.5743750000000001,0.915
gpt4_mini,1,E_reverse_only,0.999,0.57175,0.9724999999999999
gpt4_mini,2,A_full_items,0.99825,0.54925,0.8875
gpt4_mini,2,B_style_only,0.7815000000000001,0.58375,0.98125
gpt4_mini,2,C_ipsatised,0.9875,0.55075,0.9925
gpt4_mini,2,D_facets_only,0.9897499999999999,0.562875,0.90625
gpt4_mini,2,E_forward_only,0.95075,0.5685,0.7700000000000001
gpt4_mini,2,E_reverse_only,0.99875,0.5904999999999999,0.77125
gpt4_mini,3,A_full_items,0.99375,0.5635,0.8675
gpt4_mini,3,B_style_only,0.9743749999999999,0.6215,0.9962500000000001
gpt4_mini,3,C_ipsatised,0.98375,0.5740000000000001,0.97875
gpt4_mini,3,D_facets_only,0.9884999999999999,0.5752499999999999,0.8099999999999999
gpt4_mini,3,E_forward_only,0.9964999999999999,0.55075,0.7100000000000001
gpt4_mini,3,E_reverse_only,0.9962500000000001,0.58325,0.7837500000000001
gpt4_nano,0,A_full_items,0.9967499999999999,0.5775,0.9550000000000001
gpt4_nano,0,B_style_only,0.86175,0.5576249999999999,0.9962500000000001
gpt4_nano,0,C_ipsatised,0.9925,0.58525,0.9824999999999999
gpt4_nano,0,D_facets_only,0.9965000000000002,0.5575000000000001,0.92125
