cluster,baseline,case,similarity
0,global_mean,529,0.6666666666666666
0,global_mean,540,0.7354166666666667
0,global_mean,542,0.69375
0,global_mean,547,0.7875
0,global_mean,570,0.7333333333333333
0,global_mean,579,0.7041666666666667
0,global_mean,584,0.725
0,global_mean,592,0.6958333333333333
0,global_mean,594,0.7541666666666667
0,global_mean,610,0.7645833333333333
0,global_mean,615,0.6416666666666667
0,global_mean,616,0.7770833333333333
0,global_mean,628,0.7729166666666667
0,global_mean,635,0.7833333333333333
0,global_mean,640,0.7166666666666667
0,global_mean,641,0.6958333333333333
0,global_mean,649,0.7333333333333333
0,global_mean,657,0.7833333333333333
0,global_mean,664,0.7125
0,global_mean,686,0.6541666666666667
0,global_mean,714,0.7708333333333334
0,global_mean,718,0.7020833333333333
0,global_mean,720,0.7083333333333334
0,global_mean,731,0.68125
0,global_mean,744,0.6645833333333333
0,global_mean,752,0.70625
0,global_mean,754,0.7208333333333333
0,global_mean,759,0.8125
0,global_mean,765,0.8333333333333334
0,global_mean,777,0.6354166666666666
0,global_mean,787,0.7145833333333333
0,global_mean,796,0.7291666666666666
0,global_mean,804,0.7208333333333333
0,global_mean,805,0.7458333333333333
0,global_mean,817,0.7666666666666667
0,global_mean,824,0.6708333333333333
0,global_mean,828,0.7520833333333333
0,global_mean,839,0.7229166666666667
0,global_mean,865,0.71875
0,global_mean,867,0.75
0,cluster_majority,529,0.7666666666666667
0,cluster_majority,540,0.75625
0,cluster_majority,542,0.7854166666666667
0,cluster_majority,547,0.6958333333333333
0,cluster_majority,570,0.8125
0,cluster_majority,579,0.7958333333333333
0,cluster_majority,584,0.7791666666666667
0,cluster_majority,592,0.8125
0,cluster_majority,594,0.7958333333333333
0,cluster_majority,610,0.80625
0,cluster_majority,615,0.825
0,cluster_majority,616,0.80625
0,cluster_majority,628,0.7354166666666667
0,cluster_majority,635,0.7958333333333333
0,cluster_majority,640,0.7666666666666667
0,cluster_majority,641,0.7708333333333334
0,cluster_majority,649,0.8333333333333334
0,cluster_majority,657,0.7541666666666667
0,cluster_majority,664,0.7916666666666666
0,cluster_majority,686,0.725
0,cluster_majority,714,0.8041666666666667
0,cluster_majority,718,0.7854166666666667
0,cluster_majority,720,0.8458333333333333
0,cluster_majority,731,0.78125
0,cluster_majority,744,0.7104166666666667
0,cluster_majority,752,0.75625
0,cluster_majority,754,0.7958333333333333
0,cluster_majority,759,0.8041666666666667
0,cluster_majority,765,0.7958333333333333
0,cluster_majority,777,0.68125
0,cluster_majority,787,0.7979166666666667
0,cluster_majority,796,0.7625
0,cluster_majority,804,0.8083333333333333
0,cluster_majority,805,0.7791666666666667
0,cluster_majority,817,0.7916666666666666
0,cluster_majority,824,0.7541666666666667
0,cluster_majority,828,0.79375
0,cluster_majority,839,0.7854166666666667
0,cluster_majority,865,0.7770833333333333
0,cluster_majority,867,0.8208333333333333
0,cluster_mean,529,0.7583333333333333
0,cluster_mean,540,0.7979166666666667
0,cluster_mean,542,0.7729166666666667
0,cluster_mean,547,0.7666666666666667
0,cluster_mean,570,0.8083333333333333
0,cluster_mean,579,0.7875
0,cluster_mean,584,0.8041666666666667
0,cluster_mean,592,0.8083333333333333
0,cluster_mean,594,0.8208333333333333
0,cluster_mean,610,0.83125
0,cluster_mean,615,0.7666666666666667
0,cluster_mean,616,0.8520833333333333
0,cluster_mean,628,0.7854166666666667
0,cluster_mean,635,0.8416666666666667
0,cluster_mean,640,0.7916666666666666
0,cluster_mean,641,0.7666666666666667
0,cluster_mean,649,0.8416666666666667
0,cluster_mean,657,0.8041666666666667
0,cluster_mean,664,0.8083333333333333
0,cluster_mean,686,0.7166666666666667
0,cluster_mean,714,0.8125
0,cluster_mean,718,0.7770833333333333
0,cluster_mean,720,0.8125
0,cluster_mean,731,0.7854166666666667
0,cluster_mean,744,0.70625
0,cluster_mean,752,0.7604166666666666
0,cluster_mean,754,0.8041666666666667
0,cluster_mean,759,0.8625
0,cluster_mean,765,0.8583333333333333
0,cluster_mean,777,0.6729166666666667
0,cluster_mean,787,0.81875
0,cluster_mean,796,0.7833333333333333
0,cluster_mean,804,0.7958333333333333
0,cluster_mean,805,0.7958333333333333
0,cluster_mean,817,0.8375
0,cluster_mean,824,0.7375
0,cluster_mean,828,0.8104166666666667
0,cluster_mean,839,0.7729166666666667
0,cluster_mean,865,0.7854166666666667
0,cluster_mean,867,0.825
0,centroid_determin,529,0.6666666666666666
0,centroid_determin,540,0.7354166666666667
0,centroid_determin,542,0.69375
0,centroid_determin,547,0.7875
0,centroid_determin,570,0.7333333333333333
0,centroid_determin,579,0.7041666666666667
0,centroid_determin,584,0.725
0,centroid_determin,592,0.6958333333333333
0,centroid_determin,594,0.7541666666666667
0,centroid_determin,610,0.7645833333333333
0,centroid_determin,615,0.6416666666666667
0,centroid_determin,616,0.7770833333333333
0,centroid_determin,628,0.7729166666666667
0,centroid_determin,635,0.7833333333333333
0,centroid_determin,640,0.7166666666666667
0,centroid_determin,641,0.6958333333333333
0,centroid_determin,649,0.7333333333333333
0,centroid_determin,657,0.7833333333333333
0,centroid_determin,664,0.7125
0,centroid_determin,686,0.6541666666666667
0,centroid_determin,714,0.7708333333333334
0,centroid_determin,718,0.7020833333333333
0,centroid_determin,720,0.7083333333333334
0,centroid_determin,731,0.68125
0,centroid_determin,744,0.6645833333333333
0,centroid_determin,752,0.70625
0,centroid_determin,754,0.7208333333333333
0,centroid_determin,759,0.8125
0,centroid_determin,765,0.8333333333333334
0,centroid_determin,777,0.6354166666666666
0,centroid_determin,787,0.7145833333333333
0,centroid_determin,796,0.7291666666666666
0,centroid_determin,804,0.7208333333333333
0,centroid_determin,805,0.7458333333333333
0,centroid_determin,817,0.7666666666666667
0,centroid_determin,824,0.6708333333333333
0,centroid_determin,828,0.7520833333333333
0,centroid_determin,839,0.7229166666666667
0,centroid_determin,865,0.71875
0,centroid_determin,867,0.75
0,empirical_sample,529,0.68125
0,empirical_sample,540,0.7083333333333334
0,empirical_sample,542,0.6833333333333333
0,empirical_sample,547,0.675
0,empirical_sample,570,0.7145833333333333
0,empirical_sample,579,0.7104166666666667
0,empirical_sample,584,0.7229166666666667
0,empirical_sample,592,0.7291666666666666
0,empirical_sample,594,0.7729166666666667
0,empirical_sample,610,0.7020833333333333
0,empirical_sample,615,0.7208333333333333
0,empirical_sample,616,0.7375
0,empirical_sample,628,0.6958333333333333
0,empirical_sample,635,0.7458333333333333
0,empirical_sample,640,0.69375
0,empirical_sample,641,0.725
0,empirical_sample,649,0.7645833333333333
0,empirical_sample,657,0.71875
0,empirical_sample,664,0.7458333333333333
0,empirical_sample,686,0.6666666666666666
0,empirical_sample,714,0.7145833333333333
0,empirical_sample,718,0.68125
0,empirical_sample,720,0.7770833333333333
0,empirical_sample,731,0.70625
0,empirical_sample,744,0.6541666666666667
0,empirical_sample,752,0.70625
0,empirical_sample,754,0.7375
0,empirical_sample,759,0.7604166666666666
0,empirical_sample,765,0.7916666666666666
0,empirical_sample,777,0.63125
0,empirical_sample,787,0.725
0,empirical_sample,796,0.7395833333333334
0,empirical_sample,804,0.7041666666666667
0,empirical_sample,805,0.7375
0,empirical_sample,817,0.73125
0,empirical_sample,824,0.6729166666666667
0,empirical_sample,828,0.7625
0,empirical_sample,839,0.7125
0,empirical_sample,865,0.7270833333333333
0,empirical_sample,867,0.7395833333333334
0,train_user_copy,529,0.6875
0,train_user_copy,540,0.73125
0,train_user_copy,542,0.7416666666666667
0,train_user_copy,547,0.7458333333333333
0,train_user_copy,570,0.775
0,train_user_copy,579,0.75
0,train_user_copy,584,0.7625
0,train_user_copy,592,0.7479166666666667
0,train_user_copy,594,0.7916666666666666
0,train_user_copy,610,0.725
0,train_user_copy,615,0.6979166666666666
0,train_user_copy,616,0.7770833333333333
0,train_user_copy,628,0.7354166666666667
0,train_user_copy,635,0.7354166666666667
0,train_user_copy,640,0.70625
0,train_user_copy,641,0.6708333333333333
0,train_user_copy,649,0.6854166666666667
0,train_user_copy,657,0.7479166666666667
0,train_user_copy,664,0.7125
0,train_user_copy,686,0.68125
0,train_user_copy,714,0.6875
0,train_user_copy,718,0.7
0,train_user_copy,720,0.7416666666666667
0,train_user_copy,731,0.7395833333333334
0,train_user_copy,744,0.6354166666666666
0,train_user_copy,752,0.6958333333333333
0,train_user_copy,754,0.70625
0,train_user_copy,759,0.8166666666666667
0,train_user_copy,765,0.7270833333333333
0,train_user_copy,777,0.6416666666666667
0,train_user_copy,787,0.6895833333333333
0,train_user_copy,796,0.75
0,train_user_copy,804,0.7583333333333333
0,train_user_copy,805,0.7708333333333334
0,train_user_copy,817,0.6604166666666667
0,train_user_copy,824,0.6520833333333333
0,train_user_copy,828,0.7270833333333333
0,train_user_copy,839,0.6604166666666667
0,train_user_copy,865,0.7625
0,train_user_copy,867,0.73125
1,global_mean,458,0.7583333333333333
1,global_mean,484,0.75625
1,global_mean,522,0.6895833333333333
1,global_mean,527,0.7791666666666667
1,global_mean,528,0.68125
1,global_mean,533,0.7520833333333333
1,global_mean,535,0.6916666666666667
1,global_mean,552,0.7625
1,global_mean,557,0.7666666666666667
1,global_mean,558,0.6708333333333333
1,global_mean,559,0.7083333333333334
1,global_mean,562,0.6854166666666667
1,global_mean,563,0.7541666666666667
1,global_mean,565,0.6833333333333333
1,global_mean,576,0.76875
1,global_mean,580,0.6645833333333333
1,global_mean,588,0.6729166666666667
1,global_mean,591,0.6729166666666667
1,global_mean,595,0.7416666666666667
1,global_mean,600,0.6541666666666667
1,global_mean,621,0.65
1,global_mean,623,0.6916666666666667
1,global_mean,625,0.6833333333333333
1,global_mean,627,0.6666666666666666
1,global_mean,634,0.7291666666666666
1,global_mean,637,0.7291666666666666
1,global_mean,648,0.7729166666666667
1,global_mean,654,0.7145833333333333
1,global_mean,665,0.6458333333333334
1,global_mean,670,0.6833333333333333
1,global_mean,672,0.6979166666666666
1,global_mean,681,0.7229166666666667
1,global_mean,687,0.7041666666666667
1,global_mean,691,0.63125
1,global_mean,713,0.6625
1,global_mean,715,0.6479166666666667
1,global_mean,723,0.6479166666666667
1,global_mean,734,0.76875
1,global_mean,741,0.7354166666666667
1,global_mean,742,0.66875
1,cluster_majority,458,0.7791666666666667
1,cluster_majority,484,0.79375
1,cluster_majority,522,0.79375
1,cluster_majority,527,0.8041666666666667
1,cluster_majority,528,0.79375
1,cluster_majority,533,0.8145833333333333
1,cluster_majority,535,0.7666666666666667
1,cluster_majority,552,0.7541666666666667
1,cluster_majority,557,0.7916666666666666
1,cluster_majority,558,0.7625
1,cluster_majority,559,0.8166666666666667
1,cluster_majority,562,0.76875
1,cluster_majority,563,0.8041666666666667
1,cluster_majority,565,0.7416666666666667
1,cluster_majority,576,0.7479166666666667
1,cluster_majority,580,0.8145833333333333
1,cluster_majority,588,0.76875
1,cluster_majority,591,0.8395833333333333
1,cluster_majority,595,0.7583333333333333
1,cluster_majority,600,0.85
1,cluster_majority,621,0.7541666666666667
1,cluster_majority,623,0.8041666666666667
1,cluster_majority,625,0.7916666666666666
1,cluster_majority,627,0.8375
1,cluster_majority,634,0.8041666666666667
1,cluster_majority,637,0.8208333333333333
1,cluster_majority,648,0.78125
1,cluster_majority,654,0.8020833333333334
1,cluster_majority,665,0.8458333333333333
1,cluster_majority,670,0.8083333333333333
1,cluster_majority,672,0.8020833333333334
1,cluster_majority,681,0.83125
1,cluster_majority,687,0.8458333333333333
1,cluster_majority,691,0.83125
1,cluster_majority,713,0.8
1,cluster_majority,715,0.8104166666666667
1,cluster_majority,723,0.8145833333333333
1,cluster_majority,734,0.7520833333333333
1,cluster_majority,741,0.7645833333333333
1,cluster_majority,742,0.7770833333333333
1,cluster_mean,458,0.8208333333333333
1,cluster_mean,484,0.8604166666666667
1,cluster_mean,522,0.8104166666666667
1,cluster_mean,527,0.8791666666666667
1,cluster_mean,528,0.7770833333333333
1,cluster_mean,533,0.8604166666666667
1,cluster_mean,535,0.7833333333333333
1,cluster_mean,552,0.8375
1,cluster_mean,557,0.8666666666666667
1,cluster_mean,558,0.8041666666666667
1,cluster_mean,559,0.8583333333333333
1,cluster_mean,562,0.7729166666666667
1,cluster_mean,563,0.8458333333333333
1,cluster_mean,565,0.7833333333333333
1,cluster_mean,576,0.80625
1,cluster_mean,580,0.8229166666666666
1,cluster_mean,588,0.7854166666666667
1,cluster_mean,591,0.8229166666666666
1,cluster_mean,595,0.825
1,cluster_mean,600,0.8458333333333333
1,cluster_mean,621,0.7833333333333333
