model,cluster,run,n_train,n_test,llm_before,llm_after,base_cluster_mean,base_cluster_majority,base_global_mean,base_empirical_sample,base_train_user_copy,best_baseline,best_baseline_score,llm_beats_best_baseline
gigchat3,0,gigchat3_cluster_0_1_2_3_20260415_170747,60,40,0.6649122807017545,0.7114744653392331,0.7936,0.781,0.7265,0.7183,0.7203,cluster_mean,0.7936,False
gigchat3,1,gigchat3_cluster_0_1_2_3_20260415_170747,60,40,0.6755341880341881,0.6905092592592594,0.827,0.7961,0.7042,0.7485,0.7477,cluster_mean,0.827,False
gigchat3,2,gigchat3_cluster_0_1_2_3_20260415_170747,60,40,0.7404166666666667,0.7373397435897435,0.7847,0.7704,0.7227,0.7123,0.7182,cluster_mean,0.7847,False
gigchat3,3,gigchat3_cluster_0_1_2_3_20260415_170747,60,40,0.6371354166666666,0.6721354166666667,0.7791,0.7649,0.7265,0.7002,0.6969,cluster_mean,0.7791,False
gpt4_mini,0,gpt4_mini_cluster_0_1_2_3_20260413_133124,60,40,0.6536979166666667,0.6566666666666666,0.7936,0.781,0.7265,0.7145,0.7201,cluster_mean,0.7936,False
gpt4_mini,1,gpt4_mini_cluster_0_1_2_3_20260413_133124,60,40,0.6365104166666666,0.6381770833333332,0.827,0.7961,0.7042,0.7515,0.7453,cluster_mean,0.827,False
gpt4_mini,2,gpt4_mini_cluster_0_1_2_3_20260413_133124,60,40,0.6876041666666667,0.7104166666666666,0.7847,0.7704,0.7227,0.711,0.7145,cluster_mean,0.7847,False
gpt4_mini,3,gpt4_mini_cluster_0_1_2_3_20260413_133124,60,40,0.6476041666666668,0.6522916666666666,0.7791,0.7649,0.7265,0.6997,0.6992,cluster_mean,0.7791,False
gpt4_nano,0,gpt4_nano_cluster_0_20260412_234902,60,40,0.67265625,0.6728125,0.7936,0.781,0.7265,0.7157,0.7279,cluster_mean,0.7936,False
gpt4_nano,1,gpt4_nano_cluster_1_2_20260413_001058,60,40,0.6734375,0.67828125,0.827,0.7961,0.7042,0.7481,0.7502,cluster_mean,0.827,False
gpt4_nano,2,gpt4_nano_cluster_1_2_20260413_001058,60,40,0.6960416666666667,0.69703125,0.7847,0.7704,0.7227,0.7112,0.7122,cluster_mean,0.7847,False
gpt4_nano,3,gpt4_nano_cluster_1_2_20260413_001058,60,40,0.6684895833333333,,0.7791,0.7649,0.7265,0.703,0.7075,cluster_mean,0.7791,
gpt4_nano,3,gpt4_nano_cluster_3_20260413_125830,60,40,0.66953125,0.6696354166666667,0.7791,0.7649,0.7265,0.7027,0.7118,cluster_mean,0.7791,False
grok4.1_fast,0,grok4.1_fast_cluster_0_1_2_3_20260413_185200,60,40,0.5972916666666667,0.5982812500000001,0.7936,0.781,0.7265,0.7163,0.7139,cluster_mean,0.7936,False
grok4.1_fast,1,grok4.1_fast_cluster_0_1_2_3_20260413_185200,60,40,0.5858854166666667,0.5829166666666666,0.827,0.7961,0.7042,0.7445,0.7486,cluster_mean,0.827,False
grok4.1_fast,2,grok4.1_fast_cluster_0_1_2_3_20260413_185200,60,40,0.6577991452991453,0.6586458333333333,0.7847,0.7704,0.7227,0.7129,0.7104,cluster_mean,0.7847,False
grok4.1_fast,3,grok4.1_fast_cluster_0_1_2_3_20260413_185200,60,40,0.61453125,0.61390625,0.7791,0.7649,0.7265,0.7024,0.7086,cluster_mean,0.7791,False
qwen3,0,qwen3_cluster_0_1_2_3_20260416_145315,60,40,0.6367708333333333,0.6343229166666667,0.7936,0.781,0.7265,0.7183,0.7174,cluster_mean,0.7936,False
qwen3,1,qwen3_cluster_0_1_2_3_20260416_145315,60,40,0.5956770833333334,0.6150520833333333,0.827,0.7961,0.7042,0.7492,0.743,cluster_mean,0.827,False
qwen3,2,qwen3_cluster_0_1_2_3_20260416_145315,60,40,0.678125,0.6766145833333332,0.7847,0.7704,0.7227,0.7132,0.7173,cluster_mean,0.7847,False
qwen3,3,qwen3_cluster_0_1_2_3_20260416_145315,60,40,0.6425520833333334,0.6420833333333333,0.7791,0.7649,0.7265,0.7047,0.7033,cluster_mean,0.7791,False
