model,cluster,lambda,S_model,S_constant,S_human
gigchat3,0,0.0,0.7002528712606838,0.7936458333333334,0.7236484375
gigchat3,0,0.05,0.7048889459031887,0.7936458333333334,0.7371251302083334
gigchat3,0,0.1,0.7095250205456937,0.7936458333333334,0.7506018229166666
gigchat3,0,0.15,0.7141610951881984,0.7936458333333334,0.764078515625
gigchat3,0,0.2,0.7187971698307034,0.7936458333333334,0.7775552083333334
gigchat3,0,0.25,0.7234332444732083,0.7936458333333334,0.7910319010416667
gigchat3,0,0.3,0.7280693191157134,0.7936458333333334,0.8045085937500001
gigchat3,0,0.35,0.7327053937582183,0.7936458333333334,0.8179852864583333
gigchat3,0,0.4,0.7373414684007232,0.7936458333333334,0.8314619791666666
gigchat3,0,0.45,0.7419775430432282,0.7936458333333334,0.8449386718749999
gigchat3,0,0.5,0.7466136176857331,0.7936458333333334,0.8584153645833332
gigchat3,0,0.6,0.7558857669707428,0.7936458333333334,0.8853687499999999
gigchat3,0,0.75,0.7697939908982578,0.7936458333333334,0.925798828125
gigchat3,0,1.0,0.7929743641107823,0.7936458333333334,0.9931822916666666
gigchat3,1,0.0,0.6798958333333334,0.82703125,0.7550338541666667
gigchat3,1,0.05,0.6849419688786007,0.82703125,0.7674721354166666
gigchat3,1,0.1,0.6899881044238683,0.82703125,0.7799104166666667
gigchat3,1,0.15,0.6950342399691358,0.82703125,0.7923486979166666
gigchat3,1,0.2,0.7000803755144033,0.82703125,0.8047869791666666
gigchat3,1,0.25,0.7051265110596708,0.82703125,0.8172252604166667
gigchat3,1,0.3,0.7101726466049383,0.82703125,0.8296635416666667
gigchat3,1,0.35,0.7152187821502058,0.82703125,0.8421018229166667
gigchat3,1,0.4,0.7202649176954734,0.82703125,0.8545401041666667
gigchat3,1,0.45,0.7253110532407407,0.82703125,0.8669783854166667
gigchat3,1,0.5,0.7303571887860083,0.82703125,0.8794166666666666
gigchat3,1,0.6,0.7404494598765432,0.82703125,0.9042932291666668
gigchat3,1,0.75,0.7555878665123458,0.82703125,0.9416080729166666
gigchat3,1,1.0,0.780818544238683,0.82703125,1.0037994791666667
gigchat3,2,0.0,0.7317094017094017,0.7846875,0.7079036458333333
gigchat3,2,0.05,0.73571882533421,0.7846875,0.7221088541666667
gigchat3,2,0.1,0.7397282489590182,0.7846875,0.7363140625
gigchat3,2,0.15,0.7437376725838265,0.7846875,0.7505192708333334
