model,cluster,S_model_asis,S_model_reoriented,S_constant,VR_asis,VR_reoriented,corr_itemmeans_asis,corr_itemmeans_reoriented
gigchat3,0,0.7114020446484457,0.7275714583767995,0.7936458333333334,0.4796354447658494,0.4796354447658494,0.03475167971085482,0.48922447931034413
gigchat3,1,0.6905092592592592,0.7563657407407407,0.82703125,0.5250376985120067,0.5250376985120065,0.2256072657903004,0.6690854295247619
gigchat3,2,0.7373397435897436,0.7513354700854701,0.7846875,0.3744882751453204,0.37448827514532046,0.33467501933106913,0.5830130249998463
gigchat3,3,0.6721354166666667,0.6949479166666667,0.7790625,0.6699339298696337,0.6699339298696337,0.1201688851095954,0.5667975511621361
gpt4_mini,0,0.6566666666666666,0.7611458333333333,0.7936458333333334,0.3654968448424786,0.3654968448424786,-0.04580726841354111,0.7257547899865848
gpt4_mini,1,0.6381770833333333,0.7888020833333333,0.82703125,0.45143401029664165,0.45143401029664165,0.19142996951153285,0.8191123328578114
gpt4_mini,2,0.7104166666666667,0.768125,0.7846875,0.41047645998186627,0.41047645998186627,0.26534115710680284,0.6147787580870983
gpt4_mini,3,0.6522916666666667,0.7019791666666667,0.7790625,0.32488314332356816,0.32488314332356816,0.0950203539138974,0.42463589792282386
gpt4_nano,0,0.6728125,0.7728125,0.7936458333333334,0.3341605599424787,0.3341605599424787,-0.08010629100040445,0.7536756680361811
gpt4_nano,1,0.67828125,0.8066145833333334,0.82703125,0.29861649494585907,0.29861649494585907,0.06936270550226512,0.8109014322465122
gpt4_nano,2,0.69703125,0.76171875,0.7846875,0.25785744940408734,0.25785744940408734,0.10520374438956726,0.619374960484133
gpt4_nano,3,0.6696354166666667,0.71765625,0.7790625,0.43404702672524326,0.43404702672524326,-0.029526469107481298,0.30219578714784767
grok4.1_fast,0,0.59828125,0.7130729166666666,0.7936458333333334,0.5476893023049617,0.5476893023049617,-0.030421194567962506,0.6711077222557491
grok4.1_fast,1,0.5829166666666666,0.7488541666666667,0.82703125,0.35343485599092117,0.35343485599092117,0.21010858505518254,0.7845826727420613
grok4.1_fast,2,0.6586458333333334,0.7141666666666666,0.7846875,0.5404843283810564,0.5404843283810565,0.05562416255579311,0.530862167565089
grok4.1_fast,3,0.61390625,0.65640625,0.7790625,0.38956793263845907,0.38956793263845907,0.016165348565559033,0.5649682385005588
qwen3,0,0.6343229166666666,0.7505729166666667,0.7936458333333334,0.5818098877488759,0.5818098877488761,-0.06661610107500784,0.6803298017219443
qwen3,1,0.6150520833333334,0.78234375,0.82703125,0.3531257693116578,0.3531257693116578,0.19844855594154803,0.8304905540141724
qwen3,2,0.6766145833333334,0.7328645833333334,0.7846875,0.46689516928752695,0.46689516928752695,0.1294503260910484,0.594870685126336
qwen3,3,0.6420833333333333,0.665,0.7790625,0.491624254051364,0.49162425405136395,0.04739237210397227,0.6228299521261093
