model,persona_cluster,human_cluster,diagonal,S,DF,C2ST,VR
gigchat3,0,0,True,0.704496220501475,0.7540077457264958,1.0,0.47966821876985044
gigchat3,0,1,False,0.6749198008849557,0.7188928952991454,0.9624999999999999,0.5439865049990101
gigchat3,0,2,False,0.710063145280236,0.7604634081196582,0.9875,0.49230418150493516
gigchat3,0,3,False,0.700759587020649,0.7518803418803419,1.0,0.43936441089640754
gigchat3,1,0,False,0.6572337962962963,0.7000868055555556,0.9875,0.45009717340895555
gigchat3,1,1,True,0.6736689814814815,0.7089641203703703,0.9625,0.4742896134789625
gigchat3,1,2,False,0.6769097222222222,0.7356539351851852,0.9875,0.4225104578131806
gigchat3,1,3,False,0.6476273148148148,0.6872685185185186,0.975,0.39870677766030505
gigchat3,2,0,False,0.7182692307692309,0.7625253739316239,1.0,0.40363724910180365
gigchat3,2,1,False,0.7014957264957266,0.7381436965811965,0.9875,0.43323766710335493
gigchat3,2,2,True,0.7348824786324787,0.78265625,0.995,0.407032887449212
gigchat3,2,3,False,0.707905982905983,0.7575747863247864,1.0,0.3489406411634215
gigchat3,3,0,False,0.6396354166666667,0.71859375,0.95,0.7407259430676684
gigchat3,3,1,False,0.5838020833333333,0.6555729166666666,0.9624999999999999,0.859589805119916
gigchat3,3,2,False,0.62203125,0.7111979166666667,1.0,0.6768850198121894
gigchat3,3,3,True,0.6642187500000001,0.7580729166666667,1.0,0.6211398011413555
gpt4_mini,0,0,True,0.6411458333333333,0.6769791666666667,0.9750000000000001,0.3642357391024508
gpt4_mini,0,1,False,0.6120833333333333,0.6395833333333334,0.9750000000000001,0.40894555931675425
gpt4_mini,0,2,False,0.6471354166666667,0.6806770833333333,1.0,0.37646257337760697
gpt4_mini,0,3,False,0.6385416666666666,0.6713541666666667,0.9750000000000001,0.324645011703819
gpt4_mini,1,0,False,0.6054166666666667,0.6383333333333334,0.9750000000000001,0.3510195654368552
gpt4_mini,1,1,True,0.6226041666666667,0.6604166666666667,1.0,0.4381840153334168
gpt4_mini,1,2,False,0.6516145833333333,0.6813020833333333,1.0,0.3843344090409081
gpt4_mini,1,3,False,0.6034375,0.6289583333333333,0.975,0.363340937126322
gpt4_mini,2,0,False,0.6690104166666666,0.71765625,0.9875,0.43714283844725593
gpt4_mini,2,1,False,0.6598437500000001,0.7071354166666667,1.0,0.47403716433056986
gpt4_mini,2,2,True,0.7086458333333334,0.7703125,1.0,0.45149474617119595
gpt4_mini,2,3,False,0.6905208333333334,0.7355208333333334,1.0,0.409363626425578
gpt4_mini,3,0,False,0.6134375000000001,0.6377083333333333,0.9625,0.32277083202532436
gpt4_mini,3,1,False,0.5444791666666667,0.5609375,0.9875,0.3816666608416494
gpt4_mini,3,2,False,0.6242708333333333,0.6498958333333333,0.9625,0.3386341829985476
gpt4_mini,3,3,True,0.6604166666666667,0.6881250000000001,1.0,0.31497388585084896
gpt4_nano,0,0,True,0.6647916666666667,0.7024999999999999,1.0,0.34269608778018196
gpt4_nano,0,1,False,0.6353645833333333,0.6651562499999999,0.9875,0.37644054832404555
gpt4_nano,0,2,False,0.6725520833333334,0.7046354166666666,0.9875,0.3271755796251851
gpt4_nano,0,3,False,0.6487499999999999,0.6809375,0.9875,0.3036274876103516
gpt4_nano,1,0,False,0.6665625000000001,0.6894791666666666,0.9875,0.2495636959294125
gpt4_nano,1,1,True,0.6520312500000001,0.6769270833333334,0.9875,0.27318232784640134
gpt4_nano,1,2,False,0.6899479166666665,0.7111979166666667,0.9875,0.24373510495860756
gpt4_nano,1,3,False,0.6388541666666667,0.65875,1.0,0.20691878143004447
gpt4_nano,2,0,False,0.6892708333333333,0.7263541666666666,0.9624999999999999,0.28638456394585166
gpt4_nano,2,1,False,0.6477083333333333,0.6771875,0.9,0.27635689176729084
gpt4_nano,2,2,True,0.6844791666666665,0.7223958333333333,0.975,0.26878907999454754
gpt4_nano,2,3,False,0.6829166666666666,0.7135416666666667,0.9625,0.25996711215459456
gpt4_nano,3,0,False,0.6538541666666667,0.7091666666666667,1.0,0.45671610603027696
gpt4_nano,3,1,False,0.6014583333333333,0.645,0.9875,0.4721387385936743
gpt4_nano,3,2,False,0.6419791666666667,0.6924999999999999,0.975,0.4553798976488948
gpt4_nano,3,3,True,0.6768750000000001,0.7320833333333334,0.9624999999999999,0.42621556048583087
grok4.1_fast,0,0,True,0.58984375,0.6455729166666666,0.9125000000000001,0.5505997872054207
grok4.1_fast,0,1,False,0.5557812500000001,0.6051562500000001,0.9875,0.6113349416912593
grok4.1_fast,0,2,False,0.5943229166666667,0.6450520833333333,0.9875,0.5292600912797881
grok4.1_fast,0,3,False,0.5816145833333334,0.62296875,0.925,0.534007742012389
grok4.1_fast,1,0,False,0.5579166666666666,0.5811458333333333,1.0,0.28608034007715977
grok4.1_fast,1,1,True,0.5706249999999999,0.5946875,0.975,0.308052097510302
grok4.1_fast,1,2,False,0.5907291666666667,0.6144791666666667,1.0,0.28238933545949035
grok4.1_fast,1,3,False,0.54484375,0.5700520833333333,0.9875,0.2731160207920221
grok4.1_fast,2,0,False,0.6483333333333332,0.7076041666666667,0.975,0.5620880105437782
grok4.1_fast,2,1,False,0.6402604166666667,0.6949479166666667,0.9625,0.647883133026114
grok4.1_fast,2,2,True,0.6594791666666667,0.7189583333333334,1.0,0.5732558754018264
grok4.1_fast,2,3,False,0.6348958333333333,0.6864583333333334,1.0,0.5300895230436412
grok4.1_fast,3,0,False,0.5908333333333333,0.6120833333333333,0.9375,0.41813465672323064
grok4.1_fast,3,1,False,0.55078125,0.5770312499999999,1.0,0.4726432097974081
grok4.1_fast,3,2,False,0.5694791666666668,0.5961458333333334,0.9625,0.4271937349354572
grok4.1_fast,3,3,True,0.6053124999999999,0.6332291666666666,0.9875,0.39632944473783216
qwen3,0,0,True,0.6281770833333333,0.6877604166666667,0.9875,0.6192726544283526
qwen3,0,1,False,0.5829166666666666,0.6351041666666666,0.9625,0.6521959369767293
qwen3,0,2,False,0.62625,0.6841666666666666,1.0,0.5695666116016268
qwen3,0,3,False,0.62609375,0.6852604166666667,0.9875,0.5615005493695407
qwen3,1,0,False,0.5943229166666667,0.6113020833333334,1.0,0.30167812367706
qwen3,1,1,True,0.5902604166666666,0.61984375,1.0,0.31651824955045027
qwen3,1,2,False,0.6274479166666665,0.64890625,1.0,0.298696633095267
qwen3,1,3,False,0.5817708333333333,0.6003125,0.9624999999999999,0.2814877543404003
qwen3,2,0,False,0.6549479166666667,0.7149479166666667,1.0,0.5034638492439767
qwen3,2,1,False,0.6561979166666666,0.7031770833333333,0.9625,0.5741944308572156
qwen3,2,2,True,0.6723437499999999,0.73296875,0.975,0.5017641144446546
qwen3,2,3,False,0.6386979166666668,0.69765625,0.9625,0.4641404700553024
qwen3,3,0,False,0.6069791666666667,0.6480208333333334,1.0,0.571834635198896
qwen3,3,1,False,0.5617708333333333,0.5973958333333333,0.9875,0.5893757849674295
qwen3,3,2,False,0.59671875,0.63578125,0.9875,0.5372810975363324
qwen3,3,3,True,0.6392708333333333,0.6845833333333333,0.9375,0.500972388131748
