cluster,m,DF_mean,DF_sd,VR_mean
0,1,0.7300731770833333,0.02546831633998345,0.0
0,2,0.8049213541666667,0.01772342615856701,0.5299628621685033
0,3,0.8352601562499998,0.012850644542000885,0.7100494459316483
0,5,0.8763309895833334,0.008696229092619115,0.8377448362528185
0,8,0.8976263020833333,0.006562503797741948,0.9033327274227307
0,13,0.9178645833333332,0.0047227097761992866,0.9389019109536083
0,21,0.9332713541666667,0.004911921124140156,0.9727451581470389
0,34,0.9445291666666666,0.0032448219300354277,0.9777924075106433
0,55,0.9537252604166667,0.002679549252892397,0.9879483700335989
0,100,0.9605442708333335,0.0030081330997969095,0.9940127199306579
0,200,0.9662026041666667,0.0018650952945893538,1.0016456766795212
0,500,0.969578125,0.001741964438261205,0.9995504165790431
1,1,0.74830625,0.0196149828468784,0.0
1,2,0.8158208333333332,0.013822963608310142,0.5245876400331134
1,3,0.8534203125000002,0.009300697320570732,0.7042951794020638
1,5,0.8842958333333335,0.006571076076154588,0.8329293759222567
1,8,0.9075903645833334,0.005740155837439065,0.9126898089930375
1,13,0.9250333333333334,0.005890894942974844,0.9507994641019076
1,21,0.9381906250000001,0.00351159738427345,0.970850527720339
1,34,0.9493468750000001,0.0033277689559160105,0.9796535463145768
1,55,0.9568249999999999,0.002971229045349848,0.9824117011933463
1,100,0.9643278645833334,0.0020543306585729037,0.9940648085551483
1,200,0.9687374999999999,0.0016757033660028619,0.9991379877803371
1,500,0.9720856770833333,0.0016755613686359329,0.9989094949935845
2,1,0.7155125,0.02931470764681787,0.0
2,2,0.7962434895833334,0.01456040490850848,0.5410934374397327
2,3,0.83303828125,0.013729813225224308,0.7201960405530757
2,5,0.8702536458333334,0.00907825664168753,0.8368360305589906
2,8,0.8953388020833334,0.007938508106469927,0.9255298712491491
2,13,0.9164140625,0.004982007421634242,0.9579188683490563
2,21,0.9313872395833334,0.004902570103229429,0.9662529266079265
2,34,0.9444359375,0.0027037948250862582,0.9788717031415282
2,55,0.9528643229166667,0.002748458263672279,0.9863819375833712
2,100,0.9591588541666667,0.002590336975930263,0.9942016196850316
2,200,0.9660674479166668,0.0017627865389308885,0.9958119250022162
2,500,0.9692005208333334,0.0016391689140331529,1.0000012128860742
3,1,0.6984236979166667,0.03418956108480726,0.0
3,2,0.7890841145833333,0.014714267936997968,0.5369446907104887
3,3,0.8243026041666667,0.01406465241050719,0.745604330929156
3,5,0.8637234375,0.009793458100197798,0.8479151692006137
3,8,0.8920669270833332,0.007023684543880087,0.9040694650811638
3,13,0.9123773437499999,0.006606722070466143,0.9571555019809803
3,21,0.9284299479166667,0.004908276511933677,0.9709129785265963
3,34,0.9417281249999998,0.0031792229816986805,0.9794617499757848
3,55,0.95010546875,0.003555310108402,0.9888246810766518
3,100,0.9583190104166668,0.0024597516295115124,0.9945174458736726
3,200,0.9636687500000001,0.0018638327749149642,0.9984287810604767
3,500,0.96720859375,0.0016857299865533349,1.0047899013184414
