cluster,n,c2st_human,DF_human,c2st_constant,DF_constant
0,10,0.5,0.8817395833333335,0.5,0.7951458333333334
0,20,0.5,0.9171093750000001,0.5,0.79459375
0,40,0.5857500000000001,0.9382838541666667,0.9268750000000001,0.7941276041666666
0,80,0.5488437499999999,0.9563710937500002,1.0,0.7949973958333334
0,160,0.5293984375,0.9694401041666667,1.0,0.7949127604166667
0,320,0.524986328125,0.9778561197916666,1.0,0.7953277994791668
0,640,0.51739501953125,0.9842845052083333,1.0,0.7953177083333333
1,10,0.5,0.8914895833333333,0.5,0.8124375
1,20,0.5,0.9206562500000001,0.5,0.8150260416666667
1,40,0.5670625,0.9434374999999997,0.9200000000000002,0.8140182291666667
1,80,0.5443125,0.9595013020833333,1.0,0.8144322916666666
1,160,0.5334843750000002,0.9707923177083334,1.0,0.8143430989583333
1,320,0.5263808593749999,0.9800019531249999,1.0,0.8162324218749999
1,640,0.51760107421875,0.9858981119791667,1.0,0.814818359375
2,10,0.5,0.8823437499999999,0.5,0.798875
2,20,0.5,0.9128541666666667,0.5,0.797390625
2,40,0.5644375,0.9385052083333332,0.914375,0.7945546875
2,80,0.5451874999999999,0.9568125000000001,1.0,0.7933450520833334
2,160,0.5447421875,0.9687864583333334,1.0,0.7942526041666665
2,320,0.526044921875,0.9778437500000002,1.0,0.7930921223958334
2,640,0.518619873046875,0.9847981770833332,1.0,0.7932635091145833
3,10,0.5,0.8724791666666667,0.5,0.7728125
3,20,0.5,0.9099010416666667,0.5,0.7776822916666667
3,40,0.5780000000000001,0.9339999999999998,0.8950000000000001,0.7756223958333333
3,80,0.5283437500000001,0.9533385416666669,1.0,0.7781627604166668
3,160,0.5378671875000001,0.9680930989583333,1.0,0.7792018229166666
3,320,0.5312128906250001,0.9769684244791665,1.0,0.7780107421874999
3,640,0.515599609375,0.9836271158854165,1.0,0.7786857096354167
