item,sign,reverse,facet_key,facet,text
1,+N1,False,N1,Anxiety,Worry about things.
2,+E1,False,E1,Friendliness,Make friends easily.
3,+O1,False,O1,Imagination,Have a vivid imagination.
4,+A1,False,A1,Trust,Trust others.
5,+C1,False,C1,Self-Efficacy,Complete tasks successfully.
6,+N2,False,N2,Anger,Get angry easily.
7,+E2,False,E2,Gregariousness,Love large parties.
8,+O2,False,O2,Artistic Interests,Believe in the importance of art.
9,-A2,True,A2,Morality,Use others for my own ends.
10,+C2,False,C2,Orderliness,Like to tidy up.
11,+N3,False,N3,Depression,Often feel blue.
12,+E3,False,E3,Assertiveness,Take charge.
13,+O3,False,O3,Emotionality,Experience my emotions intensely.
14,+A3,False,A3,Altruism,Love to help others.
15,+C3,False,C3,Dutifulness,Keep my promises.
16,+N4,False,N4,Self-Consciousness,Find it difficult to approach others.
17,+E4,False,E4,Activity Level,Am always busy.
18,+O4,False,O4,Adventurousness,Prefer variety to routine.
19,-A4,True,A4,Cooperation,Love a good fight.
20,+C4,False,C4,Achievement-Striving,Work hard.
21,+N5,False,N5,Immoderation,Go on binges.
22,+E5,False,E5,Excitement-Seeking,Love excitement.
23,+O5,False,O5,Intellect,Love to read challenging material.
24,-A5,True,A5,Modesty,Believe that I am better than others.
25,+C5,False,C5,Self-Discipline,Am always prepared.
26,+N6,False,N6,Vulnerability,Panic easily.
27,+E6,False,E6,Cheerfulness,Radiate joy.
28,+O6,False,O6,Liberalism,Tend to vote for liberal political candidates.
29,+A6,False,A6,Sympathy,Sympathize with the homeless.
30,-C6,True,C6,Cautiousness,Jump into things without thinking.
31,+N1,False,N1,Anxiety,Fear for the worst.
32,+E1,False,E1,Friendliness,Feel comfortable around people.
33,+O1,False,O1,Imagination,Enjoy wild flights of fantasy.
34,+A1,False,A1,Trust,Believe that others have good intentions.
35,+C1,False,C1,Self-Efficacy,Excel in what I do.
36,+N2,False,N2,Anger,Get irritated easily.
37,+E2,False,E2,Gregariousness,Talk to a lot of different people at parties.
38,+O2,False,O2,Artistic Interests,See beauty in things that others might not notice.
39,-A2,True,A2,Morality,Cheat to get ahead.
40,-C2,True,C2,Orderliness,Often forget to put things back in their proper place.
41,+N3,False,N3,Depression,Dislike myself.
42,+E3,False,E3,Assertiveness,Try to lead others.
43,+O3,False,O3,Emotionality,Feel others' emotions.
44,+A3,False,A3,Altruism,Am concerned about others.
45,+C3,False,C3,Dutifulness,Tell the truth.
46,+N4,False,N4,Self-Consciousness,Am afraid to draw attention to myself.
47,+E4,False,E4,Activity Level,Am always on the go.
48,-O4,True,O4,Adventurousness,Prefer to stick with things that I know.
49,-A4,True,A4,Cooperation,Yell at people.
50,+C4,False,C4,Achievement-Striving,Do more than what's expected of me.
51,-N5,True,N5,Immoderation,Rarely overindulge.
52,+E5,False,E5,Excitement-Seeking,Seek adventure.
53,-O5,True,O5,Intellect,Avoid philosophical discussions.
54,-A5,True,A5,Modesty,Think highly of myself.
55,+C5,False,C5,Self-Discipline,Carry out my plans.
56,+N6,False,N6,Vulnerability,Become overwhelmed by events.
57,+E6,False,E6,Cheerfulness,Have a lot of fun.
58,+O6,False,O6,Liberalism,Believe that there is no absolute right or wrong.
59,+A6,False,A6,Sympathy,Feel sympathy for those who are worse off than myself.
60,-C6,True,C6,Cautiousness,Make rash decisions.
61,+N1,False,N1,Anxiety,Am afraid of many things.
62,-E1,True,E1,Friendliness,Avoid contacts with others.
63,+O1,False,O1,Imagination,Love to daydream.
64,+A1,False,A1,Trust,Trust what people say.
65,+C1,False,C1,Self-Efficacy,Handle tasks smoothly.
66,+N2,False,N2,Anger,Lose my temper.
67,-E2,True,E2,Gregariousness,Prefer to be alone.
68,-O2,True,O2,Artistic Interests,Do not like poetry.
69,-A2,True,A2,Morality,Take advantage of others.
70,-C2,True,C2,Orderliness,Leave a mess in my room.
71,+N3,False,N3,Depression,Am often down in the dumps.
72,+E3,False,E3,Assertiveness,Take control of things.
73,-O3,True,O3,Emotionality,Rarely notice my emotional reactions.
74,-A3,True,A3,Altruism,Am indifferent to the feelings of others.
75,-C3,True,C3,Dutifulness,Break rules.
76,+N4,False,N4,Self-Consciousness,Only feel comfortable with friends.
77,+E4,False,E4,Activity Level,Do a lot in my spare time.
78,-O4,True,O4,Adventurousness,Dislike changes.
79,-A4,True,A4,Cooperation,Insult people.
80,-C4,True,C4,Achievement-Striving,Do just enough work to get by.
81,-N5,True,N5,Immoderation,Easily resist temptations.
82,+E5,False,E5,Excitement-Seeking,Enjoy being reckless.
83,-O5,True,O5,Intellect,Have difficulty understanding abstract ideas.
84,-A5,True,A5,Modesty,Have a high opinion of myself.
85,-C5,True,C5,Self-Discipline,Waste my time.
86,+N6,False,N6,Vulnerability,Feel that I'm unable to deal with things.
87,+E6,False,E6,Cheerfulness,Love life.
88,-O6,True,O6,Liberalism,Tend to vote for conservative political candidates.
89,-A6,True,A6,Sympathy,Am not interested in other people's problems.
90,-C6,True,C6,Cautiousness,Rush into things.
91,+N1,False,N1,Anxiety,Get stressed out easily.
92,-E1,True,E1,Friendliness,Keep others at a distance.
93,+O1,False,O1,Imagination,Like to get lost in thought.
94,-A1,True,A1,Trust,Distrust people.
95,+C1,False,C1,Self-Efficacy,Know how to get things done.
96,-N2,True,N2,Anger,Am not easily annoyed.
97,-E2,True,E2,Gregariousness,Avoid crowds.
98,-O2,True,O2,Artistic Interests,Do not enjoy going to art museums.
99,-A2,True,A2,Morality,Obstruct others' plans.
100,-C2,True,C2,Orderliness,Leave my belongings around.
101,-N3,True,N3,Depression,Feel comfortable with myself.
102,-E3,True,E3,Assertiveness,Wait for others to lead the way.
103,-O3,True,O3,Emotionality,Don't understand people who get emotional.
104,-A3,True,A3,Altruism,Take no time for others.
105,-C3,True,C3,Dutifulness,Break my promises.
106,-N4,True,N4,Self-Consciousness,Am not bothered by difficult social situations.
107,-E4,True,E4,Activity Level,Like to take it easy.
108,-O4,True,O4,Adventurousness,Am attached to conventional ways.
109,-A4,True,A4,Cooperation,Get back at others.
110,-C4,True,C4,Achievement-Striving,Put little time and effort into my work.
111,-N5,True,N5,Immoderation,Am able to control my cravings.
112,+E5,False,E5,Excitement-Seeking,Act wild and crazy.
113,-O5,True,O5,Intellect,Am not interested in theoretical discussions.
114,-A5,True,A5,Modesty,Boast about my virtues.
115,-C5,True,C5,Self-Discipline,Have difficulty starting tasks.
116,-N6,True,N6,Vulnerability,Remain calm under pressure.
117,+E6,False,E6,Cheerfulness,Look at the bright side of life.
118,-O6,True,O6,Liberalism,Believe that we should be tough on crime.
119,-A6,True,A6,Sympathy,Try not to think about the needy.
120,-C6,True,C6,Cautiousness,Act without thinking.
